Title,Author,ISBN,Pages,Subject
The Cambridge Companion To Hegel And Nineteenth-Century Philosophy,Frederick C. Beiser,9780521539388,,Philosophy-SL
Groundwork for the Metaphysics of Morals,Immanuel Kant,9780300094879,194,Philosophy-SL
"Thinking about Science, Reflecting on Art",Otávio Bueno,9781138687325,224,Philosophy-Topics
Ockham's Razors,Elliott Sober,9781107692534,322,Philosophy-Topics
The Oxford Handbook of Philosophy of Religion,William J. Wainwright,9780195331356,560,Philosophy-Topics
The Routledge companion to philosophy of religion,Chad V. Meister,9780415782951,,Philosophy-Topics
The Routledge Companion to Philosophy of Literature,Noel Carroll,9780415889728,600,Philosophy-Topics
The Routledge companion to hermeneutics,Jeff Malpas,9780415644587,,Philosophy-Topics
The Routledge Companion To Philosophy Of Language,Gillian Russell,9781138776180,,Philosophy-Topics
The Cambridge Companion to Virtue Ethics,Daniel C. Russell,9780521171748,380,Philosophy-Topics
The Cambridge Companion to Postmodernism,Steven Connor,9780521648400,237,Philosophy-Topics
Philosophy Of Language: A Contemporary Introduction,William G. Lycan,9780415957526,,Philosophy-Topics
The Philosophy of Language,Aloysius Martinich,9780199795154,738,Philosophy-Topics
